path,locus,ntaxa,chars_count,site_count,conserved_sites,proportion_cons_sites,variable_sites,proportion_var_sites,parsimony_informative_sites,proportion_pars_inf_sites,missing_data,proportion_missing_data,gc_content,at_content,?,-,A,C,G,T,N,R,Y,S,W,K,M,B,D,H,V,.,
shrew-nexus-clean-trimmed/uce-2.nexus,uce-2,82,57400,700,627,0.8957142857142857,73,0.10428571428571429,11,0.015714285714285715,5488,0.09560975609756098,0.33501742160278747,0.5693728222996516,0,5488,16036,8489,10741,16646,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-3.nexus,uce-3,63,18207,289,229,0.7923875432525952,60,0.20761245674740483,13,0.04498269896193772,313,0.017191190201570825,0.4156643049376613,0.5671445048607678,0,313,5346,2401,5167,4980,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-4.nexus,uce-4,75,78525,1047,905,0.8643744030563515,142,0.1356255969436485,55,0.05253104106972302,16719,0.21291308500477554,0.2628080229226361,0.5242788920725884,0,16719,22755,10465,10172,18414,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-5.nexus,uce-5,77,69300,900,698,0.7755555555555556,202,0.22444444444444445,76,0.08444444444444445,12662,0.18271284271284272,0.4053968253968254,0.4118903318903319,0,12662,14331,13475,14619,14213,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-6.nexus,uce-6,52,32656,628,533,0.8487261146496815,95,0.15127388535031847,31,0.04936305732484077,2235,0.0684407153356198,0.3936183243508084,0.5379409603135717,0,2235,8976,6670,6184,8591,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-7.nexus,uce-7,59,12154,206,205,0.9951456310679612,1,0.0048543689320388345,0,0,103,0.00847457627118644,0.327299654434754,0.6642257692940595,0,103,3444,1753,2225,4629,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-10.nexus,uce-10,49,11025,225,209,0.9288888888888889,16,0.07111111111111111,7,0.03111111111111111,259,0.02349206349206349,0.27909297052154197,0.6974149659863945,0,259,3943,1190,1887,3746,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-11.nexus,uce-11,78,56082,719,546,0.7593880389429764,173,0.24061196105702365,34,0.04728789986091794,9626,0.17164152490995327,0.33732748475446667,0.49103099033558006,0,9626,11842,9358,9560,15696,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-12.nexus,uce-12,60,39420,657,580,0.882800608828006,77,0.1171993911719939,27,0.0410958904109589,6219,0.15776255707762557,0.31423135464231355,0.5280060882800609,0,6219,9980,6913,5474,10834,0,0,0,0,0,0,0,0,0,0,0,0,
shrew-nexus-clean-trimmed/uce-14.nexus,uce-14,73,49056,672,572,0.8511904761904762,100,0.1488095238095238,31,0.046130952380952384,4183,0.08526989562948467,0.36717221135029354,0.5475578930202218,0,4183,13941,8408,9604,12920,0,0,0,0,0,0,0,0,0,0,0,0,
